originalorder	field	description	k	r	sd	documentnumber	reference	year
247	Law	Exposure to pornography encourages acceptance of rape myths	24	0.1	0.09	8	Allen, M., Emmers, T., Gebhardt, L., & Giery, M. A. (1995). Exposure to pornography and acceptance of rape myths. Journal of Communication, 45, 5–26.	1995
248	Law	The people most tolerant of rape are aging, lower-class men of color	61	0.23	0.14	14	Anderson, K. B., Cooper, H., & Okamura, L. (1997). Individual differences and attitudes toward rape: A meta-analytic review. Personality and Social Psychology Bulletin, 23, 295–315.	1997
249	Law	A woman is likely to be held responsible for being raped if she: was previously acquainted with her attacker	14	0.16	0.22	302	Whatley, M. A. (1996). Victim characteristics influencing attributions of responsibility to rape victims: A meta-analysis. Aggression and Violent Behavior, 1, 81–95. 	1996
250	Law	A woman is likely to be held responsible for being raped if she: is of questionable character	17	0.2	0.13	302	Whatley, M. A. (1996). Victim characteristics influencing attributions of responsibility to rape victims: A meta-analysis. Aggression and Violent Behavior, 1, 81–95. 	1996
251	Leadership	In comparison with subordinates: leaders are older	13	0.21	NA	273	Stogdill, R. M. (1948). Personal factors associated with leadership: A survey of the literature. The Journal of Psychology, 25, 35–71. 	1948
252	Leadership	In comparison with subordinates: leaders are more intelligent	196	0.25	NA	172	Mann, R. D. (1959). A review of the relationships between personality and performance in small groups. Psychological Bulletin, 56, 241–270.	1959
253	Leadership	In comparison with subordinates: leaders are more intelligent	17	0.28	NA	273	Stogdill, R. M. (1948). Personal factors associated with leadership: A survey of the literature. The Journal of Psychology, 25, 35–71. 	1948
254	Leadership	In comparison with subordinates: leaders are more intelligent	13	0.38	0.03	165	Lord, R. G., De Vader, C. L., & Alliger, G. M. (1986). A meta-analysis of the relation between personality traits and leadership perceptions: An application of validity generalization procedures. Journal of Applied Psychology, 71, 402–410.	1986
255	Leadership	In comparison with subordinates: leaders are more extroverted	119	0.15	NA	172	Mann, R. D. (1959). A review of the relationships between personality and performance in small groups. Psychological Bulletin, 56, 241–270.	1959
256	Leadership	In comparison with subordinates: leaders are more extroverted	10	0.1	0.19	165	Lord, R. G., De Vader, C. L., & Alliger, G. M. (1986). A meta-analysis of the relation between personality traits and leadership perceptions: An application of validity generalization procedures. Journal of Applied Psychology, 71, 402–410.	1986
257	Leadership	Leaders are most effective if they: have charisma	49	0.54	0.14	107	Fuller, J. B., Patterson, C. E. P., Hester, K., & Stringer, D. Y. (1996). A quantitative review of research on charismatic leadership. Psychological Reports, 78, 271–287.	1996
258	Leadership	Leaders are most effective if they: have charisma	47	0.62	0.25	166	Lowe, K. B., Kroeck, K. G., Sivasubramaniam, N. (1996). Effectiveness correlates of transformation and transactional leadership: A meta-analytic review of the MLQ literature. Leadership Quarterly, 7, 385–425.	1996
259	Leadership	Leaders are most effective if they: stimulate subordinates and show them consideration	86	0.52	0.01	166	Lowe, K. B., Kroeck, K. G., Sivasubramaniam, N. (1996). Effectiveness correlates of transformation and transactional leadership: A meta-analytic review of the MLQ literature. Leadership Quarterly, 7, 385–425.	1996
260	Leadership	Leaders are most effective if they: offer rewards that are contingent on performance	43	0.34	0.27	166	Lowe, K. B., Kroeck, K. G., Sivasubramaniam, N. (1996). Effectiveness correlates of transformation and transactional leadership: A meta-analytic review of the MLQ literature. Leadership Quarterly, 7, 385–425.	1996
261	Leadership	Leaders are most effective if they: avoid making unnecessary changes	41	0.04	0.2	166	Lowe, K. B., Kroeck, K. G., Sivasubramaniam, N. (1996). Effectiveness correlates of transformation and transactional leadership: A meta-analytic review of the MLQ literature. Leadership Quarterly, 7, 385–425.	1996
262	Leadership	People are less satisfied with autocratic than democratic leaders	28	0.23	0.18	110	Gastil, J. (1994). A meta-analytic review of the productivity and satisfaction of democratic and autocratic leadership. Small Group Research, 25, 384–410.	1994
263	Leadership	People are more productive under autocratic than democratic leaders	23	0.02	0.07	110	Gastil, J. (1994). A meta-analytic review of the productivity and satisfaction of democratic and autocratic leadership. Small Group Research, 25, 384–410.	1994
264	Leadership	In large groups, leaders initiate structure and are inconsiderate	16	0.07	0.08	185	Mullen, B., Symons, C., Hu, L., & Salas, E. (1989). Group size, leadership behavior, and subordinate satisfaction. The Journal of General Psychology, 116, 155–169.	1989
265	Leadership	People are satisfied with leaders who initiate structure	90	0.25	0.17	313	Wofford, J. C., & Liska, L. Z. (1993). Path-goal theories of leadership: A meta-analysis. Journal of Management, 19, 857–876. 	1993
266	Leadership	People perform well under leaders who initiate structure	87	0.13	0.28	313	Wofford, J. C., & Liska, L. Z. (1993). Path-goal theories of leadership: A meta-analysis. Journal of Management, 19, 857–876. 	1993
267	Leadership	People are satisfied with leaders who show them consideration	88	0.46	0.2	313	Wofford, J. C., & Liska, L. Z. (1993). Path-goal theories of leadership: A meta-analysis. Journal of Management, 19, 857–876. 	1993
268	Leadership	People perform well under leaders who show them consideration	88	0.19	0.27	313	Wofford, J. C., & Liska, L. Z. (1993). Path-goal theories of leadership: A meta-analysis. Journal of Management, 19, 857–876. 	1993
269	Leadership	Good leader–subordinate relations promote subordinate satisfaction	60	0.53	0.25	111	Gerstner, C. R., & Day, D. V. (1997). Metaanalytic review of leader-member exchange theory: Correlates and construct issues. Journal of Applied Psychology, 82, 827–844.	1997
270	Leadership	Good leader–subordinate relations promote subordinate productivity	65	0.28	0.24	111	Gerstner, C. R., & Day, D. V. (1997). Metaanalytic review of leader-member exchange theory: Correlates and construct issues. Journal of Applied Psychology, 82, 827–844.	1997
271	Leadership	In favorable situations, task-oriented leaders are most effective	58	0.28	0.23	218	Peters, L. H., Hartke, D. D., & Pohlmann, J. T. (1985). Fiedler's contingency theory of leadership: An application of the meta-analysis procedures of Schmidt and Hunter. Psychological Bulletin, 97, 274–285. 	1985
272	Leadership	In favorable situations, task-oriented leaders are most effective	57	0.18	0.65	116	Graen, G., Alvares, K., Orris, J. B., & Martella, J. A. (1970). Contingency model of leadership effectiveness: Antecedent and evidential results. Psychological Bulletin, 74, 285–296.	1970
273	Leadership	In favorable situations, task-oriented leaders are most effective	40	0.24	NA	275	Strube, M. J., & Garcia, J. E. (1981). A metaanalytic investigation of Fiedler's contingency model of leadership effectiveness. Psychological Bulletin, 90, 307–321. 	1981
274	Leadership	In favorable situations, task-oriented leaders are most effective	18	0.32	NA	245	Schriesheim, C. A., Tepper, B. J., & Tetrault, L. A. (1994). Least preferred co-worker score, situational control, and leadership effectiveness: A meta-analysis of contingency model performance predictions. Journal of Applied Psychology, 79, 561–573. 	1994
275	Leadership	In favorable situations, task-oriented leaders are most effective	11	0.54	NA	100	Fiedler, F. E. (1964). A contingency model of leadership effectiveness. Advances in Experimental Social Psychology, 1, 149–190.	1964
276	Leadership	In unfavorable situations, task-oriented leaders are most effective	22	0.41	0.21	218	Peters, L. H., Hartke, D. D., & Pohlmann, J. T. (1985). Fiedler's contingency theory of leadership: An application of the meta-analysis procedures of Schmidt and Hunter. Psychological Bulletin, 97, 274–285. 	1985
277	Leadership	In unfavorable situations, task-oriented leaders are most effective	20	0.44	0.61	116	Graen, G., Alvares, K., Orris, J. B., & Martella, J. A. (1970). Contingency model of leadership effectiveness: Antecedent and evidential results. Psychological Bulletin, 74, 285–296.	1970
278	Leadership	In unfavorable situations, task-oriented leaders are most effective	13	0.45	NA	100	Fiedler, F. E. (1964). A contingency model of leadership effectiveness. Advances in Experimental Social Psychology, 1, 149–190.	1964
279	Leadership	In unfavorable situations, task-oriented leaders are most effective	12	0.44	NA	245	Schriesheim, C. A., Tepper, B. J., & Tetrault, L. A. (1994). Least preferred co-worker score, situational control, and leadership effectiveness: A meta-analysis of contingency model performance predictions. Journal of Applied Psychology, 79, 561–573. 	1994
280	Leadership	In intermediate situations, morale-oriented leaders are most effective	69	0.13	0.54	116	Graen, G., Alvares, K., Orris, J. B., & Martella, J. A. (1970). Contingency model of leadership effectiveness: Antecedent and evidential results. Psychological Bulletin, 74, 285–296.	1970
281	Leadership	In intermediate situations, morale-oriented leaders are most effective	57	0.29	0.06	218	Peters, L. H., Hartke, D. D., & Pohlmann, J. T. (1985). Fiedler's contingency theory of leadership: An application of the meta-analysis procedures of Schmidt and Hunter. Psychological Bulletin, 97, 274–285. 	1985
282	Leadership	In intermediate situations, morale-oriented leaders are most effective	50	0.36	NA	245	Schriesheim, C. A., Tepper, B. J., & Tetrault, L. A. (1994). Least preferred co-worker score, situational control, and leadership effectiveness: A meta-analysis of contingency model performance predictions. Journal of Applied Psychology, 79, 561–573. 	1994
283	Leadership	In intermediate situations, morale-oriented leaders are most effective	43	0.31	NA	275	Strube, M. J., & Garcia, J. E. (1981). A metaanalytic investigation of Fiedler's contingency model of leadership effectiveness. Psychological Bulletin, 90, 307–321. 	1981
284	Leadership	In intermediate situations, morale-oriented leaders are most effective	30	0.2	NA	100	Fiedler, F. E. (1964). A contingency model of leadership effectiveness. Advances in Experimental Social Psychology, 1, 149–190.	1964
285	Leadership	There are sex differences: Women are more effective leaders than men	76	0.01	0.13	83	Eagly, A. H., Karau, S. J., & Makhijani, M. G. (1995). Gender and the effectiveness of leaders: A meta-analysis. Psychological Bulletin, 117, 125–145.	1995
286	Leadership	There are sex differences: Men are more effective leaders than women	18	0.02	0.12	71	Dobbins, G. H., & Platz, S. J. (1986). Sex differences in leadership: How real are they? Academy of Management Review, 11, 118–127.	1986
287	Leadership	Men are more likely than women to: be evaluated favorably as leaders	114	0.02	0.16	84	Eagly, A. H., Makhijani, M. G., & Klonsky, B. G. (1992). Gender and the evaluation of leaders: A meta-analysis. Psychological Bulletin, 111, 3–22.	1992
288	Leadership	Men are more likely than women to: be evaluated favorably as leaders	71	0.04	NA	15	Anderson, L. R., & Blanchard, P. N. (1982). Sex differences in task and social-emotional behavior. Basic and Applied Social Psychology, 3, 109–139.	1982
289	Leadership	Men are more likely than women to: remain subordinates in social groups	15	0.09	0.08	81	Eagly, A. H., & Karau, S. J. (1991). Gender and the emergence of leaders: A meta-analysis. Journal of Personality and Social Psychology, 60, 685–710.	1991
290	Leadership	Men are more likely than women to: emerge as leaders in other groups	169	0.16	0.17	81	Eagly, A. H., & Karau, S. J. (1991). Gender and the emergence of leaders: A meta-analysis. Journal of Personality and Social Psychology, 60, 685–710.	1991
291	Leadership	Men are more likely than women to: be task oriented, solitary, and autocratic as leaders	329	0.01	0.35	80	Eagly, A. H., & Johnson, B. T. (1990). Gender and leadership style: A meta-analysis. Psychological Bulletin, 108, 233–256.	1990
292	Leadership	Men are more likely than women to: be non–task oriented and autocratic as school principals	117	0.02	0.18	82	Eagly, A. H., Karau, S. J., & Johnson, B. T. (1992). Gender and leadership style among school principals: A meta-analysis. Educational Administration Quarterly, 28, 76–102.	1992
293	Methodology	Psychological ratings are reliable	154	0.75	0.39	52	Churchill, G. A., Jr., & Peter, J. P. (1984). Research design effects on the reliability of rating scales: A meta-analysis. Journal of Marketing Research, 21, 360–375.	1984
294	Methodology	Measures of communication anxiety are reliable across situations	17	0.45	0.17	31	Booth-Butterfield, S. (1988). A meta-analysis of the cross-situational consistency of communication apprehension. Communication Research Reports, 5, 64–70.	1988
295	Methodology	Measures of subjective well-being are valid	77	0.52	0.2	210	Okun, M. A., & Stock, W. A. (1987). The construct validity of subjective well-being measures: An assessment via quantitative research syntheses. Journal of Community Psychology, 15, 481–492. 	1987
296	Methodology	Self-evaluations of ability are valid	267	0.31	0.17	170	Mabe, P. A., III., & West, S. G. (1982). Validity of self-evaluation of ability: A review and metaanalysis. Journal of Applied Psychology, 67, 280–296.	1982
297	Methodology	Self-evaluations of performance are valid	47	0.22	0.12	131	Harris, M. M., & Schaubroeck, J. (1988). A meta-analysis of self-supervisor, self-peer, and peer-supervisor ratings. Personnel Psychology, 41, 43–62.	1988
298	Methodology	People who report being feminine exhibit feminine behaviors	35	0.17	NA	288	Taylor, M. C., & Hall, J. A. (1982). Psychological androgyny: Theories, methods, and conclusions. Psychological Bulletin, 92, 347–366. 	1982
299	Methodology	People who report being masculine exhibit masculine behaviors	66	0.24	NA	288	Taylor, M. C., & Hall, J. A. (1982). Psychological androgyny: Theories, methods, and conclusions. Psychological Bulletin, 92, 347–366. 	1982
300	Methodology	Men report greater masculinity than women	43	0.26	NA	293	Twenge, J. M. (1997). Changes in masculine and feminine traits over time: A meta-analysis. Sex Roles, 36, 305–325. 	1997
301	Methodology	Women report greater femininity than men	43	0.4	NA	293	Twenge, J. M. (1997). Changes in masculine and feminine traits over time: A meta-analysis. Sex Roles, 36, 305–325. 	1997
302	Methodology	Persuasive fear appeals effectively arouse fear	40	0.36	0.12	34	Boster, F. J., & Mongeau, P. (1984). Fear-arousing persuasive messages. Communication Yearbook, 8, 330–375.	1984
303	Methodology	Illusion of control manipulations changes perceptions of control	53	0.32	0.18	222	Presson, P. K., & Benassi, V. A. (1996). Illusion of control: A meta-analytic review. Journal of Social Behavior and Personality, 11, 493–510. 	1996
304	Methodology	Experimental mood induction procedures effectively alter mood	380	0.36	NA	164	Larsen, R. J., & Sinnett, L. M. (1991). Metaanalysis of experimental manipulations: Some factors affecting the Velten mood induction procedure. Personality and Social Psychology Bulletin, 17, 323–334.	1991
305	Methodology	Experimental mood induction procedures effectively alter mood	250	0.45	0.06	301	Westermann, R., Spies, K., Stahl, G., & Hesse, F. W. (1996). Relative effectiveness and validity of mood induction procedures: A meta-analysis. European Journal of Social Psychology, 26, 557– 580. 	1996
306	Methodology	When assessed with a bogus pipeline measure, people: acknowledge undesirable attitudes	31	0.2	0.12	230	Roese, N. J., & Jamieson, D. (1993). Twenty years of bogus pipeline research: A critical review and meta-analysis. Psychological Bulletin, 114, 363–375. 	1993
307	Methodology	When assessed with a bogus pipeline measure, people: acknowledge smoking	30	0.02	0.08	3	Aguinis, H., Pierce, C. A., & Quigley, B. M. (1993). Conditions under which a bogus pipeline procedure enhances the validity of self-reported cigarette smoking: A meta-analytic review. Journal of Applied Social Psychology, 23, 352–373.	1993
308	Methodology	When assessed with a bogus pipeline measure, people: deny using drugs	16	0.02	0.03	4	Aguinis, H., Pierce, C. A., & Quigley, B. M. (1995). Enhancing the validity of self-reported alcohol and marijuana consumption using a bogus pipeline: A meta-analytic review. Basic and Applied Social Psychology, 16, 515–527.	1995
309	Methodology	People are most likely to respond to surveys if they: are greeted face-to-face, rather than through the mail	26	0.07	NA	139	Hox, J. J., & De Leeuw, E. D. (1994). A comparison of nonresponse in mail, telephone, and faceto-face surveys: Applying multilevel modeling tometa-analysis. Quality & Quantity, 28, 329–344.	1994
310	Methodology	People are most likely to respond to surveys if they: are assured that their responses will be confidential	64	0.07	NA	256	Singer, E., Von Thurn, D. R., & Miller, E. R. (1995). Confidentiality assurances and response: A quantitative review of the experimental literature. Public Opinion Quarterly, 77, 59–66. 	1995
311	Methodology	People are most likely to respond to surveys if they: are offered monetary incentives	74	0.12	0.08	51	Church, A. H. (1993). Estimating the effect of incentives on mail survey response rates: A metaanalysis. Public Opinion Quarterly, 57, 62–79.	1993
312	Methodology	People are most likely to respond to surveys if they: are offered monetary incentives	30	0.08	0.06	104	Fox, R. J., Crask, M. R., & Kim, J. (1988). Mail survey response rate: A meta-analysis of selected techniques for inducing response. Public Opinion Quarterly, 52, 467–491.	1988
313	Methodology	People are most likely to respond to surveys if they: are given monetary gratuities	85	0.19	0.3	137	Hopkins, K. D., & Gullickson, A. R. (1992). Response rates in survey research: A meta-analysis of the effects of monetary gratuities. Journal ofExperimental Education, 61, 52–62.	1992
314	Methodology	People are most likely to respond to surveys if they: are given return postage	6	0.03	0	22	Armstrong, J. S., & Lusk, E. (1987). Return postage in mail surveys: A meta-analysis. Public Opinion Quarterly, 51, 233–248.	1987
315	Methodology	People are most likely to respond to surveys if they: receive prior notice, follow-ups, and monetary incentives	184	0.07	0.09	319	Yammarino, F. J., Skinner, S. J., & Childers, T. L. (1991). Understanding mail survey response behavior: A meta-analysis. Public Opinion Quarterly, 55, 613–639. 	1991
316	Methodology	People who volunteer to participate in research are unusually: young	39	0.03	NA	235	Rosenthal, R., & Rosnow, R. L. (1975). The volunteer subject. New York: Wiley. 	1975
317	Methodology	People who volunteer to participate in research are unusually: intelligent	37	0.11	NA	235	Rosenthal, R., & Rosnow, R. L. (1975). The volunteer subject. New York: Wiley. 	1975
318	Methodology	People who volunteer to participate in research are unusually: low in authoritarianism	34	0.1	NA	235	Rosenthal, R., & Rosnow, R. L. (1975). The volunteer subject. New York: Wiley. 	1975
319	Methodology	People who volunteer to participate in research are unusually: high in sensation-seeking	26	0.12	NA	235	Rosenthal, R., & Rosnow, R. L. (1975). The volunteer subject. New York: Wiley. 	1975
320	Methodology	Taking a pretest improves a person's score on a posttest	164	0.08	NA	311	Willson, V. L., & Putnam, R. R. (1982). A meta-analysis of pretest sensitization effects in experimental design. American Educational Research Journal, 19, 249–258. 	1982
321	Methodology	People act differently if they believe they are being studied	38	0	0	2	Adair, J. G., Sharpe, D., & Huynh, C. (1989). Hawthorne control procedures in educational research: A reconsideration of their use and effectiveness. Review of Educational Research, 59, 215–228.	1989
322	Motivation	External rewards increase productivity	13	0.17	0.04	310	Wiersma, U. J. (1992). The effects of extrinsic rewards in intrinsic motivation: A meta-analysis. Journal of Occupational and Organizational Psychology, 65, 101–114. 	1992
323	Motivation	External rewards decrease the amount of free time spent on a task	17	0.24	0.05	310	Wiersma, U. J. (1992). The effects of extrinsic rewards in intrinsic motivation: A meta-analysis. Journal of Occupational and Organizational Psychology, 65, 101–114. 	1992
324	Motivation	External rewards decrease intrinsic motivation	88	0.16	0.07	237	Rummel, A., & Feinberg, R. (1988). Cognitive evaluation theory: A meta-analytic review of the literature. Social Behavior and Personality, 16, 147–164. 	1988
325	Motivation	External rewards increase intrinsic motivation	148	0.03	0.18	42	Cameron, J., & Pierce, W. D. (1994). Reinforcement, reward, and intrinsic motivation: A metaanalysis. Review of Educational Research, 64, 363–423.	1994
326	Motivation	External rewards decrease intrinsic motivation in some circumstances	99	0.22	NA	286	Tang, S., & Hall, V. (1995). The overjustification effect: A meta-analysis. Applied Cognitive Psychology, 9, 365–404. 	1995
327	Motivation	External rewards increase intrinsic motivation in other circumstances	127	0.09	NA	286	Tang, S., & Hall, V. (1995). The overjustification effect: A meta-analysis. Applied Cognitive Psychology, 9, 365–404. 	1995
328	Motivation	People who have high achievement motivation achieve a lot	383	0.18	0.17	261	Spangler, W. D. (1992). Validity of questionnaire and TAT measures of need for achievement: Two meta-analyses. Psychological Bulletin, 112, 140–154. 	1992
329	Motivation	African Americans have less achievement motivation than Anglos	26	0.1	0.13	58	Cooper, H. M., & Dorr, N. (1995). Race comparisons on need for achievement: A meta-analytic alternative to Graham's narrative review. Review of Educational Research, 65, 483–508.	1995
330	Motivation	Only children have high achievement motivation	43	0.08	0.24	90	Falbo, T., & Polit, D. F. (1986). Quantitative review of the only child literature: Research evidence and theory development. Psychological Bulletin, 100, 176–189.	1986
331	Motivation	Situational factors influence a person's willingness to wait for a reward	9	0.44	0.26	108	Funder, D. C., & Harris, M. J. (1986). Experimental effects and person effects in delay of gratification. American Psychologist, 41, 476–477.	1986
332	Motivation	Men are more motivated than women to manage businesses	51	0.11	0.08	76	Eagly, A. H., Karau, S. J., Miner, J. B., & Johnson, B. T. (1994). Gender and motivation to manage in hierarchic organizations: A meta-analysis. Leadership Quarterly, 5, 135–159.	1994
333	Motivation	Boys are more competitive than girls	95	0.03	0.11	274	Strube, M. J. (1981). Meta-analysis and crosscultural comparison: Sex differences in child competitiveness. Journal of Cross-Cultural Psychology, 12, 3–20. 	1981
334	Nonverbal communication	Nonverbal behavior quickly conveys accurate information about the actor	38	0.41	0.38	12	Ambady, N., & Rosenthal, R. (1992). Thin slices of expressive behavior as predictors of interpersonal consequences: A meta-analysis. Psychological Bulletin, 111, 256–274.	1992
335	Nonverbal communication	The people who are good at understanding others' nonverbal behavior: have dominant personalities	15	0.29	0.43	126	Hall, J. A., Halberstadt, A. G., & O'Brien, C. E. (1997). “Subordination” and nonverbal sensitivity: A study and synthesis of findings based on trait measures. Sex Roles, 37, 295–317.	1997
336	Nonverbal communication	The people who are good at understanding others' nonverbal behavior: have high socioeconomic status	17	0.15	0.08	126	Hall, J. A., Halberstadt, A. G., & O'Brien, C. E. (1997). “Subordination” and nonverbal sensitivity: A study and synthesis of findings based on trait measures. Sex Roles, 37, 295–317.	1997
337	Nonverbal communication	The people who are good at understanding others' nonverbal behavior: are from nonexpressive families	5	0.2	0	120	Halberstadt, A. G. (1983). Family expressiveness styles and nonverbal communication skills. Journal of Nonverbal Behavior, 8, 14–26.	1983
338	Nonverbal communication	The people who are good at understanding others' nonverbal behavior: are intelligent, trusting, well adjusted, and cognitively complex	230	0.1	0.11	64	Davis, M. H., & Kraus, L. A. (1997). Personality and empathic accuracy. In W. Ickes (Ed.), Empathic accuracy (pp. 144–168). New York: Guilford.	1997
339	Nonverbal communication	People like individuals who make eye contact, smile, and lean forward	75	0.26	NA	290	Tickle-Degnen, L., & Rosenthal, R. (1990). The nature of rapport and its nonverbal correlates. Psychological Inquiry, 1, 285–293. 	1990
340	Nonverbal communication	People can recognize facial expressions of emotion across cultures	34	0.45	NA	238	Russell, J. A. (1994). Is there universal recognition of emotion from facial expression? A review of the cross-cultural studies. Psychological Bulletin, 115, 102–141. 	1994
341	Nonverbal communication	People can recognize facial expressions of emotion across cultures	23	0.53	NA	243	Schimmack, U. (1996). Cultural influences on the recognition of emotion by facial expression: Individualistic or Caucasian cultures? Journal of Cross-Cultural Psychology, 27, 37–50. 	1996
342	Nonverbal communication	Emotions are expressed more on the left than the right side of the face	65	0.19	0.23	257	Skinner, M., & Mullen, B. (1991). Facial asymmetry in emotional expression: A meta-analysis of research. British Journal of Social Psychology, 30, 113–124. 	1991
343	Nonverbal communication	Smiling increases happiness	16	0.34	0.04	173	Matsumoto, D. (1987). The role of facial response in the experience of emotion: More methodological problems and a meta-analysis. Journal of Personality and Social Psychology, 52, 769–774.	1987
344	Nonverbal communication	People judge deception accurately	16	0.4	0.21	67	DePaulo, B. M., Zuckerman, M., & Rosenthal, R. (1980). Humans as lie detectors. Journal of Communication, 30, 129–139.	1980
345	Nonverbal communication	People judge deception accurately from nonverbal cues	14	0.23	0.43	66	DePaulo, B. M. & Rosenthal, R. (1980). Modality effects in the detection of deception. Review of Personality and Social Psychology, 1, 125–162.	1980
346	Nonverbal communication	People judge deception accurately from verbal cues	14	0.39	0.14	66	DePaulo, B. M. & Rosenthal, R. (1980). Modality effects in the detection of deception. Review of Personality and Social Psychology, 1, 125–162.	1980
347	Nonverbal communication	People judge deception from certain visible cues (like gaze aversion)	31	0.17	NA	65	DePaulo, B. M., Stone, J. I., & Lassiter, G. D. (1985). Deceiving and detecting deceit. In B. R. Schlenker (Ed.), The self and social life (pp. 323–370). New York: McGraw-Hill.	1985
348	Nonverbal communication	People judge deception from certain audible cues (like high pitch)	19	0.19	0.27	321	Zuckerman, M., DePaulo, B. M., & Rosenthal, R. (1981). Verbal and nonverbal communication of deception. Advances in Experimental Social Psychology, 14, 1–59. 	1981
349	Nonverbal communication	People who are lying have wide pupils, blink a lot, and don't move their head	110	0.07	NA	65	DePaulo, B. M., Stone, J. I., & Lassiter, G. D. (1985). Deceiving and detecting deceit. In B. R. Schlenker (Ed.), The self and social life (pp. 323–370). New York: McGraw-Hill.	1985
350	Nonverbal communication	People who are lying have wide pupils, blink a lot, and don't move their head	91	0.12	0.31	321	Zuckerman, M., DePaulo, B. M., & Rosenthal, R. (1981). Verbal and nonverbal communication of deception. Advances in Experimental Social Psychology, 14, 1–59. 	1981
351	Nonverbal communication	People who are lying give short responses, and offer negative, irrelevant remarks	92	0.1	NA	65	DePaulo, B. M., Stone, J. I., & Lassiter, G. D. (1985). Deceiving and detecting deceit. In B. R. Schlenker (Ed.), The self and social life (pp. 323–370). New York: McGraw-Hill.	1985
352	Nonverbal communication	People who are lying give short responses, and offer negative, irrelevant remarks	68	0.15	0.38	321	Zuckerman, M., DePaulo, B. M., & Rosenthal, R. (1981). Verbal and nonverbal communication of deception. Advances in Experimental Social Psychology, 14, 1–59. 	1981
353	Nonverbal communication	There are sex differences: Females smile more than males	20	0.23	NA	125	Hall, J. A., & Halberstadt, A. G. (1986). Smiling and gazing. In J. S. Hyde & M. C. Linn (Eds.), The psychology of gender: Advances through metaanalysis (pp. 136–158). Baltimore: Johns Hopkins University Press.	1986
354	Nonverbal communication	In comparison with women, men maintain more physical distance from others	62	0.25	NA	123	Hall, J. A. (1984). Nonverbal sex differences: Communication accuracy and expressive style. Baltimore: Johns Hopkins.	1984
355	Nonverbal communication	In comparison with males, females gaze more at others	41	0.29	NA	125	Hall, J. A., & Halberstadt, A. G. (1986). Smiling and gazing. In J. S. Hyde & M. C. Linn (Eds.), The psychology of gender: Advances through metaanalysis (pp. 136–158). Baltimore: Johns Hopkins University Press.	1986
356	Nonverbal communication	Men touch women more than women touch men	10	0.04	0.5	270	Stier, D. S., & Hall, J. A. (1984). Gender differences in touch: An empirical and theoretical review. Journal of Personality and Social Psychology, 47, 440–459. 	1984
357	Nonverbal communication	Women are more skilled at expressing emotion than men	42	0.28	NA	123	Hall, J. A. (1984). Nonverbal sex differences: Communication accuracy and expressive style. Baltimore: Johns Hopkins.	1984
358	Nonverbal communication	In comparison with men, women have more understanding of nonverbal behavior	64	0.21	NA	123	Hall, J. A. (1984). Nonverbal sex differences: Communication accuracy and expressive style. Baltimore: Johns Hopkins.	1984
359	Nonverbal communication	In comparison with men, women have more understanding of nonverbal behavior	46	0.17	0.18	122	Hall, J. A. (1978). Gender effects in decoding nonverbal cues. Psychological Bulletin, 85, 185–193.	1978
360	Nonverbal communication	Women are more sensitive than men to facial cues	85	0.16	NA	234	Rosenthal, R., & DePaulo, B. M. (1979). Sex differences in accommodation in nonverbal communication. In R. Rosenthal (Ed.), Skill in nonverbal communication: Individual differences (pp. 68–103). Cambridge: Oelgeschlager, Gunn & Hain. 	1979
361	Nonverbal communication	Women are more sensitive than men to vocal cues	68	0.06	NA	234	Rosenthal, R., & DePaulo, B. M. (1979). Sex differences in accommodation in nonverbal communication. In R. Rosenthal (Ed.), Skill in nonverbal communication: Individual differences (pp. 68–103). Cambridge: Oelgeschlager, Gunn & Hain. 	1979
362	Nonverbal communication	Women are more sensitive than men to nonverbal body cues	60	0.11	NA	234	Rosenthal, R., & DePaulo, B. M. (1979). Sex differences in accommodation in nonverbal communication. In R. Rosenthal (Ed.), Skill in nonverbal communication: Individual differences (pp. 68–103). Cambridge: Oelgeschlager, Gunn & Hain. 	1979
363	Personality	Personality characteristics are stable over time	106	0.66	NA	246	Schuerger, J. M., Zarrella, K. L., & Hotz, A. S. (1989). Factors that influence the temporal stability of personality by questionnaire. Journal of Personality and Social Psychology, 56, 777–783. 	1989
364	Personality	People agree with one another about others' personality characteristics	36	0.16	NA	151	Kenny, D. A. (1994). Interpersonal perception: A social relations analysis. New York: Guilford Press.	1994
365	Personality	Introverts are more vigilant than extroverts	216	0.08	0.07	1	Ackerman, P. L., & Heggestad, E. D. (1997). Intelligence, personality, and interests: Evidence for overlapping traits. Psychological Bulletin, 121, 219–245.	1997
366	Personality	Introverts are less intelligent than extroverts	100	0.06	0.03	159	Koelega, H. S. (1992). Extraversion and vigilance performance: 30 years of inconsistencies. Psychological Bulletin, 112, 239–258.	1992
367	Personality	Unintelligent people have strong reactions to stress	217	0.09	0.08	1	Ackerman, P. L., & Heggestad, E. D. (1997). Intelligence, personality, and interests: Evidence for overlapping traits. Psychological Bulletin, 121, 219–245.	1997
368	Personality	Intelligent people are popular	38	0.1	NA	172	Mann, R. D. (1959). A review of the relationships between personality and performance in small groups. Psychological Bulletin, 56, 241–270.	1959
369	Personality	Sociable, intelligent children are popular with their peers	176	0.05	0.2	204	Newcomb, A. F., & Bagwell, C. L. (1995). Children's friendship relations: A meta-analytic review. Psychological Bulletin, 117, 306–347.	1995
